,Company,Earnings Per Share USD,Dividends USD,Book Value Per Share * USD,Return on Assets %,Return on Equity %,Return on Invested Capital %,Debt/Equity,Revenue USD Mil
107,CB,0.811946903,1.737864078,0.543623209,0.268817204,0.161676647,,0.642857143,0.915349887
108,CHD,1.735849057,1.533333333,0.076398363,0.404505387,1.238155401,0.477761836,6.916666667,0.373590397
109,CI,0.910675381,0,1.133186166,0.346715328,-0.080180689,,-0.355932203,0.891808346
110,XEC,-0.156097561,-0.157894737,-0.28351836,-0.077562327,0.067713976,-0.194647202,3.384615385,0.091012514
111,CINF,5.227722772,0.25,0.553825322,3.583333333,3.151975684,,-0.375,0.507231133
112,CTAS,1.607142857,1.714285714,0.234767025,0.478114478,1.271302644,0.563591022,1.142857143,0.397112861
113,CSCO,0.623931624,8.166666667,0.511520737,-0.010362694,0.043692741,-0.082061069,0.147058824,0.110764034
114,C,-1.820936639,31,0.338837517,-1.75862069,-1.641975309,,-0.285714286,-0.088114048
115,CTXS,-1.069518717,,-0.029350105,-1.037239869,-1.083765752,-1.038284839,,0.280598368
116,CFG,,,,,,,,0.13009901
117,CLX,0.325870647,0.454545455,-5.742424242,0.20657277,,,,0.141846683
118,CME,1.198895028,1.357142857,-0.025356577,0.171548117,1.182548794,1.075089392,0,0.11097561
119,CMS,0.044585987,0.583333333,0.343906511,-0.204633205,-0.258064516,-0.310192024,0.009756098,0.012302014
120,KO,,,,,,,,
121,CTSH,0.769230769,,1.872307692,-0.417475728,-0.400426439,-0.450132392,,1.419539291
122,CL,-0.076923077,0.394736842,-1.043165468,-0.198034398,,,,-0.076490976
123,CMCSA,5.333333333,1.739130435,0.227366255,3.106312292,3.082599119,1.828611898,0.0875,0.513663551
124,CMA,0.980861244,1.725,0.319704713,0.5,0.526058632,,-0.194444444,0.295705521
125,CAG,-0.223404255,0.011235955,-0.115283843,-0.229461756,-0.024146054,-0.167250438,0.131147541,-0.363894985
126,CXO,0.214015152,,0.96778569,-0.181716834,-0.438356164,-0.280973451,-0.571428571,0.486206897
127,COP,-1.078037904,-0.598484848,-0.493747558,-1.130597015,-1.140398063,-1.068181818,0.696969697,-0.882232985
128,ED,0.383753501,0.15,0.223198594,0.136200717,0.118865867,0.040247678,0.103448276,-0.069948987
129,STZ,1.870229008,,1.982630273,0.177353342,0.046287809,0.26172301,-0.089430894,1.200480192
130,COO,1.071625344,0,0.565571746,0.173274596,0.304213772,0.159855769,1.117647059,0.607062359
131,CPRT,2.074074074,,0.783673469,0.509735744,1.078479763,0.86941093,-0.152542373,0.660550459
132,GLW,-1.370786517,1.695652174,0.343837535,-1.205741627,-1.295602019,-1.260047281,2.181818182,0.282129278
133,COTY,,,,-4.131868132,-2.927152318,-2.007246377,-0.608465608,0.872246696
134,COST,0.842424242,1.134831461,-0.183429812,0.333910035,0.829820453,0.417789757,5.1,0.451104988
135,CCI,0.942307692,,2.836408364,0,-0.407633588,-0.344709898,-0.604863222,1.142646335
136,CSX,2.523529412,1.108108108,0.554002541,1.433544304,0.95014111,0.831851253,-0.223300971,-0.028527633
137,CMI,-0.37486911,2.189393939,0.696389094,-0.639402985,-0.611218037,-0.642409034,0.833333333,0.131870567
138,CVS,1.505836576,3,0.190443213,0.28021978,0.944201313,0.452261307,1.458333333,0.725163399
139,DHR,0.135048232,5.222222222,0.518549396,-0.349339736,-0.288231149,-0.382327952,0.3,0.139146107
140,DRI,0.120943953,0.75,0.093880389,0.068616423,-0.049457177,0.233245729,-0.407894737,-0.044
141,DVA,0.399193548,,1.45505618,-0.37366548,-0.387763895,-0.269387755,-0.053398058,0.557863076
142,DE,0.007541478,0.578947368,0.589850746,-0.429738562,-0.372076707,-0.257503949,0.088353414,-0.032402792
143,DLPH,,,,,,,,
144,DAL,3.900990099,,12.65517241,2.472081218,,,,0.174540795
145,XRAY,-4.976470588,0.75,1.520642202,-3.306557377,-2.586726998,-2.850273224,-0.703703704,0.573286052
146,DVN,-0.848888889,-0.641791045,-0.740195141,-0.74822974,-0.488543018,-0.583808438,2.964285714,0.319303887
147,DLR,-0.25,0.367647059,1.50250976,-0.550218341,-0.657105606,-0.497520661,-0.370860927,1.312323612
148,DFS,0.334975369,5.5,,-0.379411765,-0.357142857,,0.148648649,0.400651005
149,DISCA,-1.421428571,,-0.119463869,-1.178318136,-1.388294879,-1.22953451,3.923076923,0.622904368
150,DISCK,-1.421428571,,-0.119463869,-1.178318136,-1.388294879,-1.22953451,3.923076923,0.622904368
151,DISH,0.200589971,,50.73913043,-0.495476688,,,,0.024416287
152,DIS,1.257936508,2.9,0.407646475,0.405882353,0.653426791,0.438259109,0.533333333,0.348323674
153,DG,1.434065934,,0.635214827,0.599706745,0.375222288,0.363876652,-0.382716049,0.686766398
154,DLTR,1.438709677,,,-0.666666667,-0.33478735,-0.577950043,5.705882353,2.522441346
155,D,0.926530612,0.543147208,0.236648702,0.273584906,0.572855953,0.258970359,0.190789474,-0.124695737
156,DOV,0.08649789,0.542372881,1.077878104,-0.211907164,-0.475964078,-0.463114754,-0.227272727,-0.01509434
157,DWDP,-0.556097561,0.955555556,1.600235156,-0.690751445,-0.827819549,-0.735645933,-0.7,0.041660415
158,DHI,10.91304348,1.666666667,1.392038601,5.88976378,4.211678832,3.857798165,-0.507692308,2.874346989
159,DTE,0.511961722,0.448275862,0.268819815,0.23297491,0.17953668,0.033850494,0.242718447,0.416994493
160,DUK,0.138381201,0.175084175,0.161977335,-0.195729537,-0.018592297,-0.121323529,0.426829268,0.621928557
161,DRE,40.45454545,0.132352941,0.742744063,52.55813953,24.64150943,5.277641278,-0.732323232,-0.386970173
162,DXC,-1.186046512,-0.2,-0.720959074,-1.330396476,-1.592836946,-1.192261185,2.6875,-0.525807256
163,EMN,1.095132743,1.111111111,1.52189519,-0.230769231,-0.300175835,-0.376623377,0.480519481,0.330314851
164,ETN,0.699745547,0.764705882,0.632900433,0.231469441,0.019769357,0.012254902,-0.066666667,0.271356471
165,EBAY,-1.386178862,,-0.128082737,-1.311688312,-1.561728395,-1.333725029,11.77777778,-0.178939238
166,ECL,1.685863874,1.111111111,1.953846154,0.97,0.750631845,0.923809524,-0.239316239,1.035299309
167,EIX,-16.63636364,0.7421875,0.126885537,-14.625,-14.25,1.035714286,-0.264705882,-0.034482759
168,EW,1.727272727,,1.543001686,-0.094220111,0.170486305,-0.091588785,0.363636364,1.047079857
169,EA,-4.666666667,,0.496103896,-3.270363951,-3.487056568,-2.994247363,,0.349958206
